crime_id,district,address,date,heavy,place_detail,losses,whens,for_what,weapon,crime
1.16.01920024.426856.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон, ул. Гагарина",1/7/2016,тяжкое,"квартира, частный дом",,,теле-видеоаппаратура,,ст. 158 ч. 3 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426870.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Большое Буртасы, ул. Ленинградская",1/7/2016,тяжкое,"на улице, площади, в парке, сквере",,,,,ст. 111 ч. 1 в ред. 26-ФЗ от 07.03.2011 по наст. вр.
1.16.01920093.426857.1,Камско-Устьинский район,,1/8/2016,средней тяжести,магазин,,,этиловый спирт и алкогольная продукция,,ст. 161 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426860.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон",1/11/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 119 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426864.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон",1/11/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 119 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426861.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Камское Устье, ул. Заречная",1/14/2016,тяжкое,"квартира, частный дом",,,,,ст. 111 ч. 2 п. З введен 227-ФЗ от 21.07.2014 по наст. вр.
1.16.01920093.426886.1,Камско-Устьинский район,,1/14/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 122 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426859.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, деревня Большие Кляри",1/17/2016,средней тяжести,,,,скот,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426866.1,Камско-Устьинский район,,1/19/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,,,ст. 115 ч. 2 п. В введен 227-ФЗ от 21.07.2014 по наст. вр.
1.16.01920093.426873.1,Камско-Устьинский район,,1/21/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 116 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426867.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон, ул. Парковая",2/2/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 139 ч. 1 в ред. 420-ФЗ по наст. вр.
1.16.02920028.426867.2,Камско-Устьинский район,,2/2/2016,небольшой тяжести,,,,,,ст. 119 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426871.1,Камско-Устьинский район,,2/2/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 115 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426869.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, деревня Малые Салтыки",2/7/2016,небольшой тяжести,,,,сельскохозяйственная продукция,,ст. 158 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426868.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, деревня Караталга",2/11/2016,средней тяжести,,,,скот,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426879.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Кирельское",2/11/2016,небольшой тяжести,"квартира, частный дом",,"Розничная торговля алкогольными напитками, кроме пива",,,ст. 238 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426865.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон, ул. Строителей",2/13/2016,особо тяжкое,"квартира, частный дом",,,,,ст. 111 ч. 4 в ред. 26-ФЗ от 07.03.2011 по наст. вр.
1.16.01920024.426882.1,Камско-Устьинский район,,2/18/2016,средней тяжести,,причинен значительный ущерб,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426885.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Камское Устье",2/24/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,российские рубли,,ст. 158 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426874.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, c.  Теньки",3/3/2016,средней тяжести,"ресторан, бар",,,продукты питания:,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426884.1,Камско-Устьинский район,,3/6/2016,средней тяжести,,причинен значительный ущерб,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426878.1,Камско-Устьинский район,,3/8/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,,,ст. 116 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426880.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон, ул. Куйбышева",3/9/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,,,ст. 319 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426899.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, c.  Теньки",3/15/2016,тяжкое,"квартира, частный дом",,,теле-видеоаппаратура,,ст. 158 ч. 3 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.08920031.534987.1,Камско-Устьинский район,,3/18/2016,небольшой тяжести,,,,,,ст. 157 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426883.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Клянчеево",3/29/2016,средней тяжести,"склад, база",,,сельскохозяйственная продукция,,ст. 158 ч. 2 п. Б в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.02920028.426894.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Тенишево",4/4/2016,небольшой тяжести,,,,,,ст. 216 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426893.1,Камско-Устьинский район,,4/13/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 115 ч. 2 п. В введен 227-ФЗ от 21.07.2014 по наст. вр.
1.16.01920093.426895.1,Камско-Устьинский район,,4/13/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 119 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426887.1,Камско-Устьинский район,,4/14/2016,небольшой тяжести,вне населенного пункта на автодороге (автотрассе),,,,,ст. 264 зн. 1 введена 528-ФЗ от 31.12.2014 по наст. вр.
1.16.02920028.426897.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Малые Кляри, ул. Вахитова",4/16/2016,небольшой тяжести,,,,,,ст. 139 ч. 1 в ред. 420-ФЗ по наст. вр.
1.16.01920093.426889.1,Камско-Устьинский район,"Верхнеуслонский район, д. Кзыл-Байрак, ул. Центральная",4/19/2016,средней тяжести,"квартира, частный дом",,,,взрывчатые вещества,ст. 222 зн. 1 ч. 1 введена 370-ФЗ от 24.11.2014 по наст. вр.
1.16.01920024.426891.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Балтачево",5/6/2016,средней тяжести,,причинен значительный ущерб,,скот,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426896.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Шапкино",5/6/2016,небольшой тяжести,вне населенного пункта;вне населенного пункта,,,,,ст. 158 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426911.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Старое Барышево",5/19/2016,средней тяжести,,,,скот,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426899.2,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Теньки",5/20/2016,тяжкое,,,,радиоаппаратура,,ст. 158 ч. 3 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426908.1,Камско-Устьинский район,,5/23/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 112 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01000149.152790.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, c. Красновидово",5/24/2016,средней тяжести,,причинен значительный ущерб,,сборочные единицы и детали,,ст. 158 ч. 2 п. В в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426901.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Куйбышевский Затон",5/25/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 115 ч. 2 п. В введен 227-ФЗ от 21.07.2014 по наст. вр.
